id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
39,39,1,4,88,4,847,158,59,217,18,180,3
40,40,3,3,88,16,8050,302,145,447,52,523,2
41,41,1,1,87,9,4620,451,48,499,28,464,1
42,42,2,4,87,34,2352,661,132,793,23,698,3
43,43,1,1,88,10,2174,64,54,118,25,106,1
44,44,-1,4,86,39,19894,284,230,514,50,591,1
45,45,2,1,86,18,6699,182,126,308,35,308,1
46,46,2,3,87,27,14987,173,332,505,19,424,1
47,47,2,2,88,9,4004,252,7,259,28,241,1
48,48,4,3,85,11,12824,131,180,311,51,361,1
49,49,2,3,85,8,2331,106,39,145,6,103,1
50,50,3,3,85,9,5817,96,108,204,29,192,1
51,51,2,3,85,7,2989,116,72,188,18,156,1
52,52,3,3,85,6,3136,86,49,135,32,131,1
53,53,2,3,85,17,14434,221,121,342,35,342,1
54,54,1,1,87,12,2583,61,96,157,18,130,1
55,55,1,3,86,12,3647,132,89,221,5,155,2
56,56,3,7,86,13,8232,45,387,432,16,350,2
57,57,1,1,86,12,3276,55,112,167,12,129,2
58,58,1,4,87,8,2723,124,52,176,14,139,2
59,59,3,3,87,5,3472,120,126,246,15,197,2
60,60,1,2,87,6,1575,47,32,79,14,62,2
61,61,1,1,86,12,2926,126,107,233,23,205,2
62,62,3,2,86,6,1876,101,45,146,15,117,2
63,63,1,1,86,5,2520,78,99,177,14,140,1
64,64,4,7,86,13,1603,69,74,143,14,113,1
65,65,1,3,86,8,3626,194,97,291,35,291,2
66,66,2,-1,87,10,6783,224,110,334,28,309,2
67,67,2,4,87,15,11361,323,184,507,35,507,2
68,68,1,3,86,6,1267,42,31,73,27,67,2
69,69,1,2,87,5,2548,74,43,117,25,105,2
70,70,3,4,87,10,1155,101,57,158,9,117,2
71,71,0,4,86,6,546,97,42,139,6,99,3
72,72,2,3,84,13,2275,134,77,211,13,165,2
73,73,4,5,86,26,9100,482,227,709,26,645,2
74,74,0,2,84,6,595,213,73,286,6,203,3
75,75,0,-1,84,22,3941,139,143,282,22,245,2
76,76,2,3,86,24,13860,473,182,655,40,688,2
77,77,4,4,85,12,1400,229,169,398,39,414,3
78,78,4,3,83,12,2800,227,73,300,34,297,1
79,79,4,4,82,24,9520,395,193,588,40,617,1
80,80,4,3,86,12,5880,469,176,645,43,697,3
81,81,4,4,85,36,23940,886,241,1127,34,1116,1
82,82,1,4,85,12,5152,253,52,305,34,302,1
83,83,0,0,86,4,5635,197,124,321,33,315,1
84,84,4,4,85,1,805,40,60,100,18,83,1
85,85,0,0,86,5,3829,200,119,319,30,303,1
86,86,0,0,86,4,2149,140,94,234,24,208,1
87,87,0,0,86,4,2821,97,89,186,38,192,1
88,88,2,1,85,9,2569,119,42,161,25,145,2
89,89,1,2,83,13,3913,186,52,238,25,214,1
90,90,3,1,85,12,7854,172,88,260,30,247,1
91,91,3,4,83,4,2422,78,38,116,24,103,1
92,92,4,1,84,21,4067,167,99,266,24,237,1
93,93,2,1,84,17,9051,146,112,258,40,271,1
94,94,1,1,84,3,2282,33,72,105,19,88,1
95,95,3,4,85,8,4172,162,61,223,32,216,1
96,96,4,4,85,9,4977,223,121,344,28,320,1
97,97,3,2,85,8,1617,119,48,167,26,152,2
98,98,4,3,85,8,3192,57,43,100,43,108,1
99,99,4,4,86,14,3437,68,316,384,20,326,2
100,100,3,4,87,14,4494,9,386,395,21,340,2
101,101,4,2,86,5,840,58,34,92,29,86,1
102,102,4,4,86,12,14973,318,269,587,34,581,2
103,103,2,4,85,18,5180,88,170,258,34,255,1
104,104,2,4,86,5,5775,306,132,438,37,447,1
105,105,4,1,87,20,10577,304,78,382,39,397,1
106,106,1,4,86,8,3983,89,200,289,33,283,1
107,107,4,1,85,14,3164,86,230,316,33,310,1
108,108,2,0,86,6,3542,71,235,306,37,312,1
109,109,3,1,85,14,4277,148,324,472,39,491,1
110,110,4,4,85,16,7252,116,170,286,27,263,1
111,111,4,1,85,14,3948,175,277,452,37,461,1
112,112,4,3,86,6,3927,79,128,207,27,190,1
113,113,1,1,86,9,710,145,38,183,27,168,3
114,114,4,4,87,9,2429,174,78,252,41,267,3
115,115,1,1,85,5,6405,194,91,285,35,285,1
116,116,2,2,88,3,651,126,49,175,38,180,3
117,117,1,3,86,17,9135,317,119,436,34,432,2
118,118,2,4,87,11,1435,289,88,377,28,351,3
119,119,-1,-1,87,8,5922,260,144,404,24,360,1
120,120,1,4,88,4,847,158,59,217,18,180,3
121,121,3,3,88,16,8050,302,145,447,52,523,2
122,122,1,1,87,9,4620,451,48,499,28,464,1
123,123,2,4,87,34,2352,661,132,793,23,698,3
124,124,1,1,88,10,2174,64,54,118,25,106,1
125,125,-1,4,86,39,19894,284,230,514,50,591,1
126,126,2,1,86,18,6699,182,126,308,35,308,1
127,127,2,3,87,27,14987,173,332,505,19,424,1
128,128,2,2,88,9,4004,252,7,259,28,241,1
129,129,4,3,85,11,12824,131,180,311,51,361,1
130,130,2,3,85,8,2331,106,39,145,6,103,1
131,131,3,3,85,9,5817,96,108,204,29,192,1
132,132,2,3,85,7,2989,116,72,188,18,156,1
133,133,3,3,85,6,3136,86,49,135,32,131,1
134,134,2,3,85,17,14434,221,121,342,35,342,1
135,135,1,1,87,12,2583,61,96,157,18,130,1
136,136,1,3,86,12,3647,132,89,221,5,155,2
137,137,3,7,86,13,8232,45,387,432,16,350,2
138,138,1,1,86,12,3276,55,112,167,12,129,2
139,139,1,4,87,8,2723,124,52,176,14,139,2
140,140,3,3,87,5,3472,120,126,246,15,197,2
141,141,1,2,87,6,1575,47,32,79,14,62,2
142,142,1,1,86,12,2926,126,107,233,23,205,2
143,143,3,2,86,6,1876,101,45,146,15,117,2
144,144,1,1,86,5,2520,78,99,177,14,140,1
145,145,4,7,86,13,1603,69,74,143,14,113,1
146,146,1,3,86,8,3626,194,97,291,35,291,2
147,147,2,-1,87,10,6783,224,110,334,28,309,2
148,148,2,4,87,15,11361,323,184,507,35,507,2
149,149,1,3,86,6,1267,42,31,73,27,67,2
150,150,1,2,87,5,2548,74,43,117,25,105,2
151,151,3,4,87,10,1155,101,57,158,9,117,2
152,152,0,4,86,6,546,97,42,139,6,99,3
153,153,2,3,84,13,2275,134,77,211,13,165,2
154,154,4,5,86,26,9100,482,227,709,26,645,2
155,155,0,2,84,6,595,213,73,286,6,203,3
156,156,0,-1,84,22,3941,139,143,282,22,245,2
157,157,2,3,86,24,13860,473,182,655,40,688,2
158,158,4,4,85,12,1400,229,169,398,39,414,3
159,159,4,3,83,12,2800,227,73,300,34,297,1
160,160,4,4,82,24,9520,395,193,588,40,617,1
161,161,4,3,86,12,5880,469,176,645,43,697,3
162,162,4,4,85,36,23940,886,241,1127,34,1116,1
163,163,1,4,85,12,5152,253,52,305,34,302,1
164,164,0,0,86,4,5635,197,124,321,33,315,1
165,165,4,4,85,1,805,40,60,100,18,83,1
166,166,0,0,86,5,3829,200,119,319,30,303,1
167,167,0,0,86,4,2149,140,94,234,24,208,1
168,168,0,0,86,4,2821,97,89,186,38,192,1
169,169,2,1,85,9,2569,119,42,161,25,145,2
170,170,1,2,83,13,3913,186,52,238,25,214,1
171,171,3,1,85,12,7854,172,88,260,30,247,1
172,172,3,4,83,4,2422,78,38,116,24,103,1
173,173,4,1,84,21,4067,167,99,266,24,237,1
174,174,2,1,84,17,9051,146,112,258,40,271,1
175,175,1,1,84,3,2282,33,72,105,19,88,1
176,176,3,4,85,8,4172,162,61,223,32,216,1
177,177,4,4,85,9,4977,223,121,344,28,320,1
178,178,3,2,85,8,1617,119,48,167,26,152,2
179,179,4,3,85,8,3192,57,43,100,43,108,1
180,180,4,4,86,14,3437,68,316,384,20,326,2
181,181,3,4,87,14,4494,9,386,395,21,340,2
182,182,4,2,86,5,840,58,34,92,29,86,1
183,183,4,4,86,12,14973,318,269,587,34,581,2
184,184,2,4,85,18,5180,88,170,258,34,255,1
185,185,2,4,86,5,5775,306,132,438,37,447,1
186,186,4,1,87,20,10577,304,78,382,39,397,1
187,187,1,4,86,8,3983,89,200,289,33,283,1
188,188,4,1,85,14,3164,86,230,316,33,310,1
189,189,2,0,86,6,3542,71,235,306,37,312,1
190,190,3,1,85,14,4277,148,324,472,39,491,1
191,191,4,4,85,16,7252,116,170,286,27,263,1
192,192,4,1,85,14,3948,175,277,452,37,461,1
193,193,4,3,86,6,3927,79,128,207,27,190,1
194,194,1,1,86,9,710,145,38,183,27,168,3
195,195,4,4,87,9,2429,174,78,252,41,267,3
196,196,1,1,85,5,6405,194,91,285,35,285,1
197,197,2,2,88,3,651,126,49,175,38,180,3
198,198,1,3,86,17,9135,317,119,436,34,432,2
199,199,2,4,87,11,1435,289,88,377,28,351,3
200,200,-1,-1,87,8,5922,260,144,404,24,360,1
201,201,1,4,88,4,847,158,59,217,18,180,3
202,202,3,3,88,16,8050,302,145,447,52,523,2
203,203,1,1,87,9,4620,451,48,499,28,464,1
204,204,2,4,87,34,2352,661,132,793,23,698,3
205,205,1,1,88,10,2174,64,54,118,25,106,1
206,206,-1,4,86,39,19894,284,230,514,50,591,1
207,207,2,1,86,18,6699,182,126,308,35,308,1
208,208,2,3,87,27,14987,173,332,505,19,424,1
209,209,2,2,88,9,4004,252,7,259,28,241,1
210,210,4,3,85,11,12824,131,180,311,51,361,1
211,211,2,3,85,8,2331,106,39,145,6,103,1
212,212,3,3,85,9,5817,96,108,204,29,192,1
213,213,2,3,85,7,2989,116,72,188,18,156,1
214,214,3,3,85,6,3136,86,49,135,32,131,1
215,215,2,3,85,17,14434,221,121,342,35,342,1
216,216,1,1,87,12,2583,61,96,157,18,130,1
217,217,1,3,86,12,3647,132,89,221,5,155,2
218,218,3,7,86,13,8232,45,387,432,16,350,2
219,219,1,1,86,12,3276,55,112,167,12,129,2
220,220,1,4,87,8,2723,124,52,176,14,139,2
221,221,3,3,87,5,3472,120,126,246,15,197,2
222,222,1,2,87,6,1575,47,32,79,14,62,2
223,223,1,1,86,12,2926,126,107,233,23,205,2
224,224,3,2,86,6,1876,101,45,146,15,117,2
225,225,1,1,86,5,2520,78,99,177,14,140,1
226,226,4,7,86,13,1603,69,74,143,14,113,1
227,227,1,3,86,8,3626,194,97,291,35,291,2
228,228,2,-1,87,10,6783,224,110,334,28,309,2
229,229,2,4,87,15,11361,323,184,507,35,507,2
230,230,1,3,86,6,1267,42,31,73,27,67,2
231,231,1,2,87,5,2548,74,43,117,25,105,2
232,232,3,4,87,10,1155,101,57,158,9,117,2
233,233,0,4,86,6,546,97,42,139,6,99,3
234,234,2,3,84,13,2275,134,77,211,13,165,2
235,235,4,5,86,26,9100,482,227,709,26,645,2
236,236,0,2,84,6,595,213,73,286,6,203,3
237,237,0,-1,84,22,3941,139,143,282,22,245,2
238,238,2,3,86,24,13860,473,182,655,40,688,2
239,239,4,4,85,12,1400,229,169,398,39,414,3
240,240,4,3,83,12,2800,227,73,300,34,297,1
241,241,4,4,82,24,9520,395,193,588,40,617,1
242,242,4,3,86,12,5880,469,176,645,43,697,3
243,243,4,4,85,36,23940,886,241,1127,34,1116,1
244,244,1,4,85,12,5152,253,52,305,34,302,1
245,245,0,0,86,4,5635,197,124,321,33,315,1
246,246,4,4,85,1,805,40,60,100,18,83,1
247,247,0,0,86,5,3829,200,119,319,30,303,1
248,248,0,0,86,4,2149,140,94,234,24,208,1
249,249,0,0,86,4,2821,97,89,186,38,192,1
250,250,2,1,85,9,2569,119,42,161,25,145,2
251,251,1,2,83,13,3913,186,52,238,25,214,1
252,252,3,1,85,12,7854,172,88,260,30,247,1
253,253,3,4,83,4,2422,78,38,116,24,103,1
254,254,4,1,84,21,4067,167,99,266,24,237,1
255,255,2,1,84,17,9051,146,112,258,40,271,1
256,256,1,1,84,3,2282,33,72,105,19,88,1
257,257,3,4,85,8,4172,162,61,223,32,216,1
258,258,4,4,85,9,4977,223,121,344,28,320,1
259,259,3,2,85,8,1617,119,48,167,26,152,2
260,260,4,3,85,8,3192,57,43,100,43,108,1
261,261,4,4,86,14,3437,68,316,384,20,326,2
262,262,3,4,87,14,4494,9,386,395,21,340,2
263,263,4,2,86,5,840,58,34,92,29,86,1
264,264,4,4,86,12,14973,318,269,587,34,581,2
265,265,2,4,85,18,5180,88,170,258,34,255,1
266,266,2,4,86,5,5775,306,132,438,37,447,1
267,267,4,1,87,20,10577,304,78,382,39,397,1
268,268,1,4,86,8,3983,89,200,289,33,283,1
269,269,4,1,85,14,3164,86,230,316,33,310,1
270,270,2,0,86,6,3542,71,235,306,37,312,1
271,271,3,1,85,14,4277,148,324,472,39,491,1
272,272,4,4,85,16,7252,116,170,286,27,263,1
273,273,4,1,85,14,3948,175,277,452,37,461,1
274,274,4,3,86,6,3927,79,128,207,27,190,1
275,275,1,1,86,9,710,145,38,183,27,168,3
276,276,4,4,87,9,2429,174,78,252,41,267,3
277,277,1,1,85,5,6405,194,91,285,35,285,1
278,278,2,2,88,3,651,126,49,175,38,180,3
279,279,1,3,86,17,9135,317,119,436,34,432,2
280,280,2,4,87,11,1435,289,88,377,28,351,3
281,281,-1,-1,87,8,5922,260,144,404,24,360,1
282,282,1,4,88,4,847,158,59,217,18,180,3
283,283,3,3,88,16,8050,302,145,447,52,523,2
284,284,1,1,87,9,4620,451,48,499,28,464,1
285,285,2,4,87,34,2352,661,132,793,23,698,3
286,286,1,1,88,10,2174,64,54,118,25,106,1
287,287,-1,4,86,39,19894,284,230,514,50,591,1
288,288,2,1,86,18,6699,182,126,308,35,308,1
289,289,2,3,87,27,14987,173,332,505,19,424,1
290,290,2,2,88,9,4004,252,7,259,28,241,1
291,291,4,3,85,11,12824,131,180,311,51,361,1
292,292,2,3,85,8,2331,106,39,145,6,103,1
293,293,3,3,85,9,5817,96,108,204,29,192,1
294,294,2,3,85,7,2989,116,72,188,18,156,1
295,295,3,3,85,6,3136,86,49,135,32,131,1
296,296,2,3,85,17,14434,221,121,342,35,342,1
297,297,1,1,87,12,2583,61,96,157,18,130,1
298,298,1,3,86,12,3647,132,89,221,5,155,2
299,299,3,7,86,13,8232,45,387,432,16,350,2
300,300,1,1,86,12,3276,55,112,167,12,129,2
301,301,1,4,87,8,2723,124,52,176,14,139,2
302,302,3,3,87,5,3472,120,126,246,15,197,2
303,303,1,2,87,6,1575,47,32,79,14,62,2
304,304,1,1,86,12,2926,126,107,233,23,205,2
305,305,3,2,86,6,1876,101,45,146,15,117,2
306,306,1,1,86,5,2520,78,99,177,14,140,1
307,307,4,7,86,13,1603,69,74,143,14,113,1
308,308,1,3,86,8,3626,194,97,291,35,291,2
309,309,2,-1,87,10,6783,224,110,334,28,309,2
310,310,2,4,87,15,11361,323,184,507,35,507,2
311,311,1,3,86,6,1267,42,31,73,27,67,2
312,312,1,2,87,5,2548,74,43,117,25,105,2
313,313,3,4,87,10,1155,101,57,158,9,117,2
314,314,0,4,86,6,546,97,42,139,6,99,3
315,315,2,3,84,13,2275,134,77,211,13,165,2
316,316,4,5,86,26,9100,482,227,709,26,645,2
317,317,0,2,84,6,595,213,73,286,6,203,3
318,318,0,-1,84,22,3941,139,143,282,22,245,2
319,319,2,3,86,24,13860,473,182,655,40,688,2
320,320,4,4,85,12,1400,229,169,398,39,414,3
321,321,4,3,83,12,2800,227,73,300,34,297,1
322,322,4,4,82,24,9520,395,193,588,40,617,1
323,323,4,3,86,12,5880,469,176,645,43,697,3
324,324,4,4,85,36,23940,886,241,1127,34,1116,1
325,325,1,4,85,12,5152,253,52,305,34,302,1
326,326,0,0,86,4,5635,197,124,321,33,315,1
327,327,4,4,85,1,805,40,60,100,18,83,1
328,328,0,0,86,5,3829,200,119,319,30,303,1
329,329,0,0,86,4,2149,140,94,234,24,208,1
330,330,0,0,86,4,2821,97,89,186,38,192,1
331,331,2,1,85,9,2569,119,42,161,25,145,2
332,332,1,2,83,13,3913,186,52,238,25,214,1
333,333,3,1,85,12,7854,172,88,260,30,247,1
334,334,3,4,83,4,2422,78,38,116,24,103,1
335,335,4,1,84,21,4067,167,99,266,24,237,1
336,336,2,1,84,17,9051,146,112,258,40,271,1
337,337,1,1,84,3,2282,33,72,105,19,88,1
338,338,3,4,85,8,4172,162,61,223,32,216,1
339,339,4,4,85,9,4977,223,121,344,28,320,1
340,340,3,2,85,8,1617,119,48,167,26,152,2
341,341,4,3,85,8,3192,57,43,100,43,108,1
342,342,4,4,86,14,3437,68,316,384,20,326,2
343,343,3,4,87,14,4494,9,386,395,21,340,2
344,344,4,2,86,5,840,58,34,92,29,86,1
345,345,4,4,86,12,14973,318,269,587,34,581,2
346,346,2,4,85,18,5180,88,170,258,34,255,1
347,347,2,4,86,5,5775,306,132,438,37,447,1
348,348,4,1,87,20,10577,304,78,382,39,397,1
349,349,1,4,86,8,3983,89,200,289,33,283,1
350,350,4,1,85,14,3164,86,230,316,33,310,1
351,351,2,0,86,6,3542,71,235,306,37,312,1
352,352,3,1,85,14,4277,148,324,472,39,491,1
353,353,4,4,85,16,7252,116,170,286,27,263,1
354,354,4,1,85,14,3948,175,277,452,37,461,1
355,355,4,3,86,6,3927,79,128,207,27,190,1
356,356,1,1,86,9,710,145,38,183,27,168,3
357,357,4,4,87,9,2429,174,78,252,41,267,3
358,358,1,1,85,5,6405,194,91,285,35,285,1
359,359,2,2,88,3,651,126,49,175,38,180,3
360,360,1,3,86,17,9135,317,119,436,34,432,2
361,361,2,4,87,11,1435,289,88,377,28,351,3
362,362,-1,-1,87,8,5922,260,144,404,24,360,1
363,363,1,4,88,4,847,158,59,217,18,180,3
364,364,3,3,88,16,8050,302,145,447,52,523,2
365,365,1,1,87,9,4620,451,48,499,28,464,1
366,366,2,4,87,34,2352,661,132,793,23,698,3
367,367,1,1,88,10,2174,64,54,118,25,106,1
368,368,-1,4,86,39,19894,284,230,514,50,591,1
369,369,2,1,86,18,6699,182,126,308,35,308,1
370,370,2,3,87,27,14987,173,332,505,19,424,1
371,371,2,2,88,9,4004,252,7,259,28,241,1
372,372,4,3,85,11,12824,131,180,311,51,361,1
373,373,2,3,85,8,2331,106,39,145,6,103,1
374,374,3,3,85,9,5817,96,108,204,29,192,1
375,375,2,3,85,7,2989,116,72,188,18,156,1
376,376,3,3,85,6,3136,86,49,135,32,131,1
377,377,2,3,85,17,14434,221,121,342,35,342,1
378,378,1,1,87,12,2583,61,96,157,18,130,1
379,379,1,3,86,12,3647,132,89,221,5,155,2
380,380,3,7,86,13,8232,45,387,432,16,350,2
381,381,1,1,86,12,3276,55,112,167,12,129,2
382,382,1,4,87,8,2723,124,52,176,14,139,2
383,383,3,3,87,5,3472,120,126,246,15,197,2
384,384,1,2,87,6,1575,47,32,79,14,62,2
385,385,1,1,86,12,2926,126,107,233,23,205,2
386,386,3,2,86,6,1876,101,45,146,15,117,2
387,387,1,1,86,5,2520,78,99,177,14,140,1
388,388,4,7,86,13,1603,69,74,143,14,113,1
389,389,1,3,86,8,3626,194,97,291,35,291,2
390,390,2,-1,87,10,6783,224,110,334,28,309,2
391,391,2,4,87,15,11361,323,184,507,35,507,2
392,392,1,3,86,6,1267,42,31,73,27,67,2
393,393,1,2,87,5,2548,74,43,117,25,105,2
394,394,3,4,87,10,1155,101,57,158,9,117,2
395,395,0,4,86,6,546,97,42,139,6,99,3
396,396,2,3,84,13,2275,134,77,211,13,165,2
397,397,4,5,86,26,9100,482,227,709,26,645,2
398,398,0,2,84,6,595,213,73,286,6,203,3
399,399,0,-1,84,22,3941,139,143,282,22,245,2
400,400,2,3,86,24,13860,473,182,655,40,688,2
401,401,4,4,85,12,1400,229,169,398,39,414,3
402,402,4,3,83,12,2800,227,73,300,34,297,1
403,403,4,4,82,24,9520,395,193,588,40,617,1
404,404,4,3,86,12,5880,469,176,645,43,697,3
405,405,4,4,85,36,23940,886,241,1127,34,1116,1
406,406,1,4,85,12,5152,253,52,305,34,302,1
407,407,0,0,86,4,5635,197,124,321,33,315,1
408,408,4,4,85,1,805,40,60,100,18,83,1
409,409,0,0,86,5,3829,200,119,319,30,303,1
410,410,0,0,86,4,2149,140,94,234,24,208,1
411,411,0,0,86,4,2821,97,89,186,38,192,1
412,412,2,1,85,9,2569,119,42,161,25,145,2
413,413,1,2,83,13,3913,186,52,238,25,214,1
414,414,3,1,85,12,7854,172,88,260,30,247,1
415,415,3,4,83,4,2422,78,38,116,24,103,1
416,416,4,1,84,21,4067,167,99,266,24,237,1
417,417,2,1,84,17,9051,146,112,258,40,271,1
418,418,1,1,84,3,2282,33,72,105,19,88,1
419,419,3,4,85,8,4172,162,61,223,32,216,1
420,420,4,4,85,9,4977,223,121,344,28,320,1
421,421,3,2,85,8,1617,119,48,167,26,152,2
422,422,4,3,85,8,3192,57,43,100,43,108,1
423,423,4,4,86,14,3437,68,316,384,20,326,2
424,424,3,4,87,14,4494,9,386,395,21,340,2
425,425,4,2,86,5,840,58,34,92,29,86,1
426,426,4,4,86,12,14973,318,269,587,34,581,2
427,427,2,4,85,18,5180,88,170,258,34,255,1
428,428,2,4,86,5,5775,306,132,438,37,447,1
429,429,4,1,87,20,10577,304,78,382,39,397,1
430,430,1,4,86,8,3983,89,200,289,33,283,1
431,431,4,1,85,14,3164,86,230,316,33,310,1
432,432,2,0,86,6,3542,71,235,306,37,312,1
433,433,3,1,85,14,4277,148,324,472,39,491,1
434,434,4,4,85,16,7252,116,170,286,27,263,1
435,435,4,1,85,14,3948,175,277,452,37,461,1
436,436,4,3,86,6,3927,79,128,207,27,190,1
437,437,1,1,86,9,710,145,38,183,27,168,3
438,438,4,4,87,9,2429,174,78,252,41,267,3
439,439,1,1,85,5,6405,194,91,285,35,285,1
440,440,2,2,88,3,651,126,49,175,38,180,3
441,441,1,3,86,17,9135,317,119,436,34,432,2
442,442,2,4,87,11,1435,289,88,377,28,351,3
443,443,-1,-1,87,8,5922,260,144,404,24,360,1
444,444,1,4,88,4,847,158,59,217,18,180,3
445,445,3,3,88,16,8050,302,145,447,52,523,2
446,446,1,1,87,9,4620,451,48,499,28,464,1
447,447,2,4,87,34,2352,661,132,793,23,698,3
448,448,1,1,88,10,2174,64,54,118,25,106,1
449,449,-1,4,86,39,19894,284,230,514,50,591,1
450,450,2,1,86,18,6699,182,126,308,35,308,1
451,451,2,3,87,27,14987,173,332,505,19,424,1
452,452,2,2,88,9,4004,252,7,259,28,241,1
453,453,4,3,85,11,12824,131,180,311,51,361,1
454,454,2,3,85,8,2331,106,39,145,6,103,1
455,455,3,3,85,9,5817,96,108,204,29,192,1
456,456,2,3,85,7,2989,116,72,188,18,156,1
457,457,3,3,85,6,3136,86,49,135,32,131,1
458,458,2,3,85,17,14434,221,121,342,35,342,1
459,459,1,1,87,12,2583,61,96,157,18,130,1
460,460,1,3,86,12,3647,132,89,221,5,155,2
461,461,3,7,86,13,8232,45,387,432,16,350,2
462,462,1,1,86,12,3276,55,112,167,12,129,2
463,463,1,4,87,8,2723,124,52,176,14,139,2
464,464,3,3,87,5,3472,120,126,246,15,197,2
465,465,1,2,87,6,1575,47,32,79,14,62,2
466,466,1,1,86,12,2926,126,107,233,23,205,2
467,467,3,2,86,6,1876,101,45,146,15,117,2
468,468,1,1,86,5,2520,78,99,177,14,140,1
469,469,4,7,86,13,1603,69,74,143,14,113,1
470,470,1,3,86,8,3626,194,97,291,35,291,2
471,471,2,-1,87,10,6783,224,110,334,28,309,2
472,472,2,4,87,15,11361,323,184,507,35,507,2
473,473,1,3,86,6,1267,42,31,73,27,67,2
474,474,1,2,87,5,2548,74,43,117,25,105,2
475,475,3,4,87,10,1155,101,57,158,9,117,2
476,476,0,4,86,6,546,97,42,139,6,99,3
477,477,2,3,84,13,2275,134,77,211,13,165,2
478,478,4,5,86,26,9100,482,227,709,26,645,2
479,479,0,2,84,6,595,213,73,286,6,203,3
480,480,0,-1,84,22,3941,139,143,282,22,245,2
481,481,2,3,86,24,13860,473,182,655,40,688,2
482,482,4,4,85,12,1400,229,169,398,39,414,3
483,483,4,3,83,12,2800,227,73,300,34,297,1
484,484,4,4,82,24,9520,395,193,588,40,617,1
485,485,4,3,86,12,5880,469,176,645,43,697,3
486,486,4,4,85,36,23940,886,241,1127,34,1116,1
487,487,1,4,85,12,5152,253,52,305,34,302,1
488,488,0,0,86,4,5635,197,124,321,33,315,1
489,489,4,4,85,1,805,40,60,100,18,83,1
490,490,0,0,86,5,3829,200,119,319,30,303,1
491,491,0,0,86,4,2149,140,94,234,24,208,1
492,492,0,0,86,4,2821,97,89,186,38,192,1
493,493,2,1,85,9,2569,119,42,161,25,145,2
494,494,1,2,83,13,3913,186,52,238,25,214,1
495,495,3,1,85,12,7854,172,88,260,30,247,1
496,496,3,4,83,4,2422,78,38,116,24,103,1
497,497,4,1,84,21,4067,167,99,266,24,237,1
498,498,2,1,84,17,9051,146,112,258,40,271,1
499,499,1,1,84,3,2282,33,72,105,19,88,1
500,500,3,4,85,8,4172,162,61,223,32,216,1
501,501,4,4,85,9,4977,223,121,344,28,320,1
502,502,3,2,85,8,1617,119,48,167,26,152,2
503,503,4,3,85,8,3192,57,43,100,43,108,1
504,504,4,4,86,14,3437,68,316,384,20,326,2
505,505,3,4,87,14,4494,9,386,395,21,340,2
506,506,4,2,86,5,840,58,34,92,29,86,1
507,507,4,4,86,12,14973,318,269,587,34,581,2
508,508,2,4,85,18,5180,88,170,258,34,255,1
509,509,2,4,86,5,5775,306,132,438,37,447,1
510,510,4,1,87,20,10577,304,78,382,39,397,1
511,511,1,4,86,8,3983,89,200,289,33,283,1
512,512,4,1,85,14,3164,86,230,316,33,310,1
513,513,2,0,86,6,3542,71,235,306,37,312,1
